Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,10694796,19542982,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,25518074,30774621,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969
"Population, total",SP.POP.TOTL,American Samoa,ASM,47818,58230,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035
"Population, total",SP.POP.TOTL,Andorra,AND,53569,66097,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034
"Population, total",SP.POP.TOTL,Angola,AGO,11828638,16394062,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,63328,75055,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219
"Population, total",SP.POP.TOTL,Argentina,ARG,32637657,37070774,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
"Population, total",SP.POP.TOTL,Armenia,ARM,3556539,3168523,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974
"Population, total",SP.POP.TOTL,Aruba,ABW,65712,89101,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537
"Population, total",SP.POP.TOTL,Australia,AUS,17065128,19028802,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,270679,325014,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906
"Population, total",SP.POP.TOTL,Bahrain,BHR,517418,711442,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265
"Population, total",SP.POP.TOTL,Bangladesh,BGD,107147651,129193327,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251
"Population, total",SP.POP.TOTL,Barbados,BRB,258868,264657,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,9979610,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952
"Population, total",SP.POP.TOTL,Belize,BLZ,182589,240406,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031
"Population, total",SP.POP.TOTL,Benin,BEN,5133419,6998023,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867
